Time,ID,Lat,Lon,Alt,WiFi networks,SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10
2017-11-09 14:54:18,GT-N7100,32.1041010114005,35.210677641326,693.831831436445,10,Ariel_University,8c:0c:90:2e:e8:18,6,-70,Ariel_University,1c:b9:c4:15:ed:3c,44,-80,Ariel_University,8c:0c:90:2d:34:38,11,-84,,1c:b9:c4:95:41:77,44,-85,Ariel_University,1c:b9:c4:15:41:7c,44,-85,Ariel_University,1c:b9:c4:16:e8:f8,1,-86,Ariel_University,1c:b9:c4:16:06:bc,36,-86,Ariel_University,1c:b9:c4:15:ed:38,6,-87,Ariel_University,1c:b9:c4:15:41:78,11,-89,Ariel_University,1c:b9:c4:16:06:b8,1,-90
2017-11-09 14:54:27,GT-N7100,32.1040306142341,35.2109497706651,721.065776484445,2,Ariel_University,8c:0c:90:2f:d3:d8,11,-88,Ariel_University,24:79:2a:2b:24:98,1,-93,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:29,GT-N7100,32.1040260885451,35.2109290171235,718.89917995447,1,,1c:b9:c4:96:06:b7,36,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:35,GT-N7100,32.1040101140465,35.2108332485327,698.664411752736,4,Ariel_University,8c:0c:90:2d:34:38,11,-75,Ariel_University,1c:b9:c4:15:ed:38,6,-79,Ariel_University,24:79:2a:2c:61:6c,36,-86,Ariel_University,24:79:2a:2b:24:9c,36,-88,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:38,GT-N7100,32.1040101140465,35.2108332485327,698.476602680071,2,Ariel_University,24:79:2a:2b:24:98,1,-82,Ariel_University,24:79:2a:2b:bd:88,11,-96,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:41,GT-N7100,32.1040287143518,35.2107292839355,700.123839223917,1,Ariel_University,24:79:2a:2c:61:68,6,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:44,GT-N7100,32.1040230287943,35.2106893636816,697.61861328225,1,Ariel_University,1c:b9:c4:16:06:b8,1,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:49,GT-N7100,32.1039946062907,35.2105969981693,688.327802881855,1,Ariel_University,24:79:2a:2c:5c:18,11,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:54:56,GT-N7100,32.1039292336598,35.2105333201894,688.194659473048,5,Ariel_University,24:79:2a:2c:5c:18,11,-84,Ariel_University,24:79:2a:2b:bd:88,11,-87,Ariel_University,1c:b9:c4:16:06:b8,1,-80,Ariel_University,24:79:2a:2b:07:b8,11,-93,Ariel_University,24:79:2a:2c:5b:d8,1,-95,,,,,,,,,,,,,,,
2017-11-09 14:55:07,GT-N7100,32.1039464068303,35.2103935057855,689.809914659725,6,Ariel_University,1c:b9:c4:16:06:bc,36,-81,Ariel_University,24:79:2a:2b:bd:8c,44,-84,Ariel_University,24:79:2a:2c:5c:1c,36,-84,Ariel_University,24:79:2a:2c:5b:dc,36,-89,Ariel_University,24:79:2a:2b:07:b8,11,-88,Ariel_University,8c:0c:90:2e:16:88,8,-94,,,,,,,,,,,,
2017-11-09 14:55:11,GT-N7100,32.1039522417507,35.210354948716,690.192213636699,4,Ariel_University,24:79:2a:2c:5c:18,11,-77,DIRECT-51-HP DeskJet 3630 series,3c:52:82:ef:d4:52,6,-95,Ariel_University,24:79:2a:2b:07:bc,36,-91,Ariel_University,1c:b9:c4:15:fd:48,1,-93,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:15,GT-N7100,32.1038816091871,35.210284786092,690.414901154911,2,Ariel_University,24:79:2a:2c:5b:d8,1,-87,Ariel_University,1c:b9:c4:16:1d:78,11,-90,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:19,GT-N7100,32.1038394100523,35.2102418799643,690.47627849268,4,Ariel_University,1c:b9:c4:16:06:b8,1,-73,Ariel_University,1c:b9:c4:16:06:bc,36,-75,Ariel_University,1c:b9:c4:16:e5:ac,52,-87,Ariel_University,1c:b9:c4:16:1d:7c,44,-90,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:22,GT-N7100,32.1038159691032,35.2102038130012,690.530126805367,7,Ariel_University,24:79:2a:2b:bd:88,11,-78,Ariel_University,1c:b9:c4:16:06:bc,36,-70,Ariel_University,24:79:2a:2b:07:b8,11,-74,DIRECT-51-HP DeskJet 3630 series,3c:52:82:ef:d4:52,6,-86,HelpDesk,60:e3:27:7b:e0:98,4,-88,Ariel_University,24:79:2a:2b:07:bc,36,-83,Ariel_University,1c:b9:c4:15:1c:b8,1,-93,,,,,,,,,
2017-11-09 14:55:25,GT-N7100,32.1037973804647,35.210175653497,690.745695875605,5,Ariel_University,24:79:2a:2c:5b:d8,1,-81,,1c:b9:c4:96:1d:77,44,-87,,24:79:2a:ab:07:b7,36,-89,DIRECT-8A-HP DeskJet 3630 series,3c:52:82:ef:a4:8b,6,-85,,00:27:22:f3:bb:2b,6,-88,,,,,,,,,,,,,,,
2017-11-09 14:55:29,GT-N7100,32.1037743959058,35.2101401581849,691.118060857032,2,Onicom,c0:4a:00:71:ee:ee,9,-92,DIRECT-61-HP DeskJet 3630 series,30:e1:71:0d:e0:63,6,-93,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:31,GT-N7100,32.1037734140824,35.2101268827786,691.22386087141,2,Ariel_University,1c:b9:c4:16:06:b8,1,-68,,1c:b9:c4:96:06:b7,36,-78,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:33,GT-N7100,32.1037741003393,35.2101166134201,691.423591155292,1,Ariel_University,1c:b9:c4:14:2b:88,6,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:35,GT-N7100,32.1037713835476,35.2101101707401,691.729100825513,1,Ariel_University,1c:b9:c4:16:e5:a8,11,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:37,GT-N7100,32.1037657088656,35.2100917427602,692.052338957987,1,Ariel_University,1c:b9:c4:15:fd:48,1,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:39,GT-N7100,32.1037532587538,35.2100781594308,692.223069754338,2,Ariel_University,1c:b9:c4:15:fd:4c,44,-89,Ariel_University,1c:b9:c4:16:ed:4c,36,-90,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:41,GT-N7100,32.1037351743178,35.2100463976694,692.292151291247,3,,1c:b9:c4:96:06:b7,36,-67,Ariel_University,24:79:2a:2c:5b:d8,1,-76,Ariel_University,1c:b9:c4:16:ed:38,6,-95,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:44,GT-N7100,32.1037214295056,35.2100247228105,692.312015239536,8,DIRECT-51-HP DeskJet 3630 series,3c:52:82:ef:d4:52,6,-81,DIRECT-61-HP DeskJet 3630 series,30:e1:71:0d:e0:63,6,-84,Ariel_University,1c:b9:c4:15:fd:4c,44,-83,Ariel_University,1c:b9:c4:16:ed:4c,36,-84,IT-MNG,1c:b9:c4:15:ed:bc,48,-88,KCG-ADSL,00:1d:aa:81:d8:3c,3,-88,IT-MNG,1c:b9:c4:15:ed:b8,1,-90,Ariel_University,1c:b9:c4:16:ed:48,6,-95,,,,,,
2017-11-09 14:55:46,GT-N7100,32.1037065018067,35.2100043834349,692.262529435311,3,Ariel_University,1c:b9:c4:15:1c:b8,1,-82,Ariel_University,1c:b9:c4:16:ed:48,6,-88,Ariel_University,1c:b9:c4:15:1c:bc,36,-81,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:50,GT-N7100,32.103671422604,35.2099674868845,692.522362745114,3,Ariel_University,1c:b9:c4:16:ed:48,6,-82,,1c:b9:c4:96:ed:47,36,-84,Ariel_University,1c:b9:c4:16:ed:38,6,-85,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:52,GT-N7100,32.1036485938691,35.2099586011249,692.56849668362,2,DIRECT-13-HP DeskJet 3630 series,a0:8c:fd:0a:24:56,6,-88,Ariel_University,1c:b9:c4:12:af:78,11,-85,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:54,GT-N7100,32.10363402634,35.2099561295139,692.652410674442,2,KCG-ADSL,00:1d:aa:81:d8:3c,3,-83,Ariel_University,1c:b9:c4:16:ed:3c,44,-84,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:56,GT-N7100,32.1036065763058,35.2099417976152,692.769277722664,2,,1c:b9:c4:95:fd:47,44,-85,Ariel_University,1c:b9:c4:12:af:7c,40,-88,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:55:58,GT-N7100,32.1035840463758,35.209918575194,692.824590058825,4,IT-MNG,1c:b9:c4:15:ed:b8,1,-82,,8c:0c:90:ae:16:83,8,-89,,8c:0c:90:6e:16:88,8,-90,Ariel_University,8c:0c:90:2e:16:88,8,-87,,,,,,,,,,,,,,,,,,
2017-11-09 14:56:00,GT-N7100,32.1035705974428,35.2099002189774,692.852971629587,1,,1c:b9:c4:92:af:77,40,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:56:05,GT-N7100,32.1035175210669,35.2098487084544,692.867360921847,3,KCG-ADSL,00:1d:aa:81:d8:3c,3,-74,Ariel_University,1c:b9:c4:14:30:3c,44,-88,Ariel_University,1c:b9:c4:14:2b:8c,36,-90,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:56:09,GT-N7100,32.1034750518456,35.2098192286717,692.720856340603,5,,1c:b9:c4:96:ed:37,44,-81,Ariel_University,1c:b9:c4:16:f1:5c,44,-80,Ariel_University,1c:b9:c4:16:e5:a8,11,-84,AUC,00:27:19:e8:ed:58,9,-85,Ariel_University,1c:b9:c4:16:f1:58,11,-85,,,,,,,,,,,,,,,
2017-11-09 14:56:13,GT-N7100,32.103422255729,35.2097874848765,692.575701218902,2,,1c:b9:c4:96:e5:a7,52,-88,AUC_4_2_24,d8:5d:4c:9e:69:22,1,-84,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:56:17,GT-N7100,32.1033765676089,35.2097672767554,692.287626930176,4,Ariel_University,1c:b9:c4:16:ed:3c,44,-78,Ariel_University,1c:b9:c4:14:2b:88,6,-81,Ariel_University,1c:b9:c4:12:af:78,11,-80,Ariel_University,1c:b9:c4:16:f4:78,1,-92,,,,,,,,,,,,,,,,,,
2017-11-09 14:56:21,GT-N7100,32.1033362424355,35.2097563859341,692.298609974889,2,Ariel_University,1c:b9:c4:12:af:7c,40,-82,,1c:b9:c4:94:2b:87,36,-86,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:56:25,GT-N7100,32.1032780765222,35.2097525254903,692.549255217841,3,Ariel_University,1c:b9:c4:12:af:7c,40,-77,Ariel_University,1c:b9:c4:12:90:bc,40,-80,Ariel_University,1c:b9:c4:16:f4:7c,36,-86,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:56:29,GT-N7100,32.1032374681411,35.2097490528454,692.496768570467,3,Ariel_University,1c:b9:c4:14:2b:8c,36,-84,Ariel_University,1c:b9:c4:16:f4:7c,36,-81,Ariel_University,1c:b9:c4:12:90:b8,11,-86,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:56:37,GT-N7100,32.1031813470321,35.2097316453601,692.824244976244,2,Ariel_University,1c:b9:c4:14:30:3c,44,-83,,1c:b9:c4:94:30:37,44,-83,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:56:40,GT-N7100,32.1031630187898,35.2097290851405,692.918029175144,2,,1c:b9:c4:92:af:77,40,-80,Ariel_University,1c:b9:c4:15:ec:3c,36,-88,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:56:44,GT-N7100,32.1031626700353,35.2097307707899,692.950720662255,3,Ariel_University,1c:b9:c4:16:ed:3c,44,-70,Ariel_University,1c:b9:c4:16:ed:38,6,-79,Ariel_University,1c:b9:c4:14:30:38,1,-89,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:00,GT-N7100,32.1029906875209,35.2097808527648,694.796734288523,3,DIRECT-3B-HP DeskJet 3630 series,3c:52:82:ef:c4:3c,6,-86,Ariel_University,1c:b9:c4:15:ec:38,6,-91,Ariel_University,1c:b9:c4:14:2c:38,6,-94,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:02,GT-N7100,32.1029680192282,35.2097791765356,694.760299533841,3,Ariel_University,1c:b9:c4:15:ec:3c,36,-83,,1c:b9:c4:95:ec:37,36,-85,Ariel_University,1c:b9:c4:16:ee:9c,36,-90,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:04,GT-N7100,32.1029476602473,35.2097743694955,694.864260091495,3,Ariel_University,1c:b9:c4:14:30:38,1,-84,,1c:b9:c4:96:ed:37,44,-72,DIRECT-3B-HP DeskJet 3630 series,3c:52:82:ef:c4:3c,6,-77,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:06,GT-N7100,32.1029230770243,35.2097788028601,694.8726100534,2,Ariel_University,1c:b9:c4:14:30:38,1,-77,Ariel_University,1c:b9:c4:16:ee:98,6,-90,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:08,GT-N7100,32.1028930234207,35.2097921898907,694.822468531932,7,Ariel_University,1c:b9:c4:12:af:78,11,-75,Ariel_University,1c:b9:c4:16:ed:38,6,-73,KCG-ADSL,00:1d:aa:81:d8:3c,3,-68,Ariel_University,1c:b9:c4:15:ec:38,6,-85,Ariel_University,1c:b9:c4:14:30:3c,44,-77,Ariel_University,1c:b9:c4:14:2c:3c,52,-90,Ariel_University,1c:b9:c4:14:2c:38,6,-89,,,,,,,,,
2017-11-09 14:57:10,GT-N7100,32.1028714056402,35.2097994660901,694.789519376628,1,AUC,00:27:19:e8:ed:58,9,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:16,GT-N7100,32.1028148031052,35.2098223753274,695.236836938892,4,Ariel_University,1c:b9:c4:16:ee:9c,36,-83,,1c:b9:c4:96:ee:97,36,-85,Ariel_University,1c:b9:c4:16:11:ac,44,-86,Ariel_University,1c:b9:c4:15:3d:68,6,-94,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:18,GT-N7100,32.1027948411465,35.2098251199267,695.383556244438,2,Ariel_University,1c:b9:c4:16:ee:98,6,-85,,1c:b9:c4:94:2c:37,52,-85,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:22,GT-N7100,32.1027757177199,35.2098321931438,695.57118229197,4,AUC,00:27:19:e8:ed:58,9,-72,Ariel_University,1c:b9:c4:14:2c:3c,52,-85,,1c:b9:c4:96:11:a7,44,-87,Ariel_University,ec:8c:a2:26:b1:78,1,-93,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:27,GT-N7100,32.102730782732,35.2098618079549,695.743173157846,5,AUC,00:27:19:e8:ed:58,9,-66,Ariel_University,1c:b9:c4:14:2c:3c,52,-80,lab_6.1.3,c4:12:f5:f6:a0:18,3,-93,Ariel_University,1c:b9:c4:14:2c:38,6,-84,Ariel_University,1c:b9:c4:16:11:a8,1,-86,,,,,,,,,,,,,,,
2017-11-09 14:57:30,GT-N7100,32.1026833099446,35.2098836153278,695.703331830727,2,Ariel_University,1c:b9:c4:15:3d:6c,44,-85,Ariel_University,1c:b9:c4:15:1e:68,1,-93,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:35,GT-N7100,32.1026129745676,35.2099221769222,695.628073750693,3,Ariel_University,1c:b9:c4:15:3a:3c,44,-90,Ariel_University,1c:b9:c4:15:3d:68,6,-87,Ariel_University,1c:b9:c4:15:3a:38,11,-92,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:40,GT-N7100,32.1026026219375,35.2099057533623,695.13546765433,1,AUC,00:27:19:e8:ed:58,9,-61,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:43,GT-N7100,32.1025584129057,35.2099122401219,694.799541828469,5,Ariel_University,1c:b9:c4:16:ee:9c,36,-77,Ariel_University,1c:b9:c4:15:3d:68,6,-80,Ariel_University,1c:b9:c4:15:1e:68,1,-87,Ariel_University,1c:b9:c4:15:3d:6c,44,-77,yosh,00:11:6b:11:02:b7,1,-97,,,,,,,,,,,,,,,
2017-11-09 14:57:47,GT-N7100,32.1025052255334,35.209942205241,694.401834197493,1,Ariel_University,1c:b9:c4:16:ee:98,6,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:50,GT-N7100,32.1024479597528,35.2099640685665,694.196175485358,3,Ariel_University,1c:b9:c4:15:1e:68,1,-81,Ariel_University,1c:b9:c4:15:3a:3c,44,-82,Ariel_University,1c:b9:c4:15:1e:6c,36,-87,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:57:54,GT-N7100,32.1024162269479,35.2100096903243,694.033622242473,4,Ariel_University,1c:b9:c4:15:3a:38,11,-80,,1c:b9:c4:95:3a:37,44,-81,,1c:b9:c4:95:3d:67,44,-83,yosh,00:11:6b:11:02:b7,1,-82,,,,,,,,,,,,,,,,,,
2017-11-09 14:58:25,GT-N7100,32.1020918671377,35.2099742046483,694.99842515136,2,Ariel_University,1c:b9:c4:16:04:78,11,-93,Coolnet-Hotspot,00:18:25:12:72:f0,6,-99,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:58:28,GT-N7100,32.1020675210478,35.2099416659407,695.104931351668,2,Coolnet-Hotspot,00:18:25:12:72:f0,6,-94,Nina,00:8c:54:8e:a9:01,6,-98,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:58:32,GT-N7100,32.1020315359106,35.2098974207389,695.067758148536,4,,1c:b9:c4:95:ed:77,60,-79,DIRECT-F4-HP DeskJet 3630 series,a0:8c:fd:0a:d5:f5,6,-89,DIRECT-5C-HP DeskJet 3630 series,fc:3f:db:9c:36:3d,6,-93,Ariel_University,1c:b9:c4:15:3d:58,11,-89,,,,,,,,,,,,,,,,,,
2017-11-09 14:58:36,GT-N7100,32.1020226054513,35.2098706906049,695.101580289094,6,DIRECT-55-HP DeskJet 3630 series,3c:52:82:ef:d4:56,6,-87,gilo1,14:ae:db:cc:1a:8d,13,-93,Bezeq,84:c9:b2:b7:c8:2d,6,-98,Ariel_University,1c:b9:c4:15:3d:5c,36,-86,Ariel_University,1c:b9:c4:16:04:7c,36,-87,Ariel_University,1c:b9:c4:15:ed:78,6,-90,,,,,,,,,,,,
2017-11-09 14:58:40,GT-N7100,32.1020072209642,35.2098448245616,695.383779231434,7,Ariel_University,1c:b9:c4:15:3d:58,11,-83,Ariel_University,1c:b9:c4:16:04:7c,36,-82,Ariel_University,1c:b9:c4:16:04:78,11,-87,DIRECT-71-HP DeskJet 3630 series,30:e1:71:0f:a2:72,6,-93,Ariel_University,1c:b9:c4:16:f1:4c,36,-92,Ariel_University,1c:b9:c4:16:f1:98,11,-90,Ariel_University,1c:b9:c4:16:f1:48,1,-93,,,,,,,,,
2017-11-09 14:58:44,GT-N7100,32.1019955329817,35.2097975968175,695.625730099046,7,Ariel_University,1c:b9:c4:15:3d:58,11,-78,DIRECT-55-HP DeskJet 3630 series,3c:52:82:ef:d4:56,6,-81,DIRECT-71-HP DeskJet 3630 series,30:e1:71:0f:a2:72,6,-88,Ariel_University,1c:b9:c4:16:f1:48,1,-88,DIRECT-5C-HP DeskJet 3630 series,fc:3f:db:9c:36:3d,6,-87,036518749,a0:ab:1b:60:b4:ca,5,-94,Ariel_University,1c:b9:c4:15:3d:5c,36,-78,,,,,,,,,
2017-11-09 14:58:49,GT-N7100,32.1019773295001,35.2097129418016,695.439770687537,7,DIRECT-71-HP DeskJet 3630 series,30:e1:71:0f:a2:72,6,-82,036518749,a0:ab:1b:60:b4:ca,5,-89,Ariel_University,1c:b9:c4:15:ed:78,6,-79,,1c:b9:c4:96:04:77,36,-78,,1c:b9:c4:95:1b:87,58,-84,Bezeq Free,62:ab:1b:60:b4:cb,5,-93,Ariel_University,1c:b9:c4:15:1b:8c,58,-83,,,,,,,,,
2017-11-09 14:58:52,GT-N7100,32.101978059291,35.2096700926504,695.22817391932,1,Ariel_University,1c:b9:c4:15:1b:88,11,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:58:56,GT-N7100,32.10200602859,35.2096021701562,694.897623899615,2,lab_6.1.3,c4:12:f5:f6:a0:18,3,-86,Ariel_University,1c:b9:c4:14:2b:d8,1,-95,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:59:00,GT-N7100,32.1020246666633,35.209556466104,694.779706366765,3,Ariel_University,1c:b9:c4:15:3d:58,11,-73,DIRECT-F4-HP DeskJet 3630 series,a0:8c:fd:0a:d5:f5,6,-81,Ariel_University,1c:b9:c4:14:2f:68,6,-91,,,,,,,,,,,,,,,,,,,,,
2017-11-09 14:59:04,GT-N7100,32.1020540855363,35.2095001969305,694.648109547618,4,Ariel_University,1c:b9:c4:15:3d:58,11,-67,Ariel_University,1c:b9:c4:16:04:78,11,-73,Ariel_University,1c:b9:c4:16:11:a8,1,-81,Ariel_University,1c:b9:c4:15:1b:88,11,-82,,,,,,,,,,,,,,,,,,
2017-11-09 14:59:08,GT-N7100,32.1020880500946,35.209475783387,694.396190196557,5,lab_6.1.3,c4:12:f5:f6:a0:18,3,-78,DIRECT-F4-HP DeskJet 3630 series,a0:8c:fd:0a:d5:f5,6,-76,,1c:b9:c4:95:3d:57,36,-81,ola,a0:ab:1b:56:6e:de,2,-93,Ariel_University,1c:b9:c4:16:f1:48,1,-80,,,,,,,,,,,,,,,
